section,text
—— 美术素材 ——,
卡牌 UI 素材,UI Pack by Kenney (kenney.nl) — CC0 1.0
卡牌模板,Mechanized Magic Card Template by Dumivid (dumivid.itch.io) — CC0 1.0
图标,Icons by: Lorc · Delapouite · Caro Asercion · Sbed · Rihlsul · Skoll · Faithtoken · Quoting · Seregacthtuf
,from game-icons.net — CC BY 3.0
背景,Background images designed by Freepik (freepik.com)
中文字体,芫茜雅楷 (JyunsaiKaai) by Mark Li — SIL OFL 1.1
,玄宗体 (XuanZongTi) by Yuchen Tian — SIL OFL 1.1
,仓耳非白 by 仓耳字库 — 商免字体
—— 音效素材 ——,
界面 & 战斗音效,Interface Sounds / UI Audio / UI Pack Sounds by Kenney (kenney.nl) — CC0 1.0
—— 音乐素材 ——,
背景音乐,"16-bit Fantasy & Adventure Music Pack"
,Original music by Marllon Silva (xDeviruchi)
,xdeviruchi.itch.io/16-bit-fantasy-adventure-music-pack
—— 字体 ——,
西文字体,Kenney Future / Kenney Future Narrow by Kenney — CC0
开发工具,Made with Unity
,TextMesh Pro by Unity Technologies
